aircraft,family,flight,origin,depInt,altDepInt,destination,arrInt,altArrInt,previous,tt,altFlight,altAirc,newFlight,_flight,cancelFlight
B737300#468,B737300,511803/03/08,DUB,3585,3585,LCY,3660,3660,0,30,0,0,0,-1,0
B737300#468,B737300,511703/03/08,LCY,3690,3690,DUB,3765,3765,0,30,0,0,0,-1,0
B737300#468,B737300,512003/03/08,DUB,3810,3810,LCY,3885,3885,0,30,0,0,0,-1,0
B737300#468,B737300,511903/03/08,LCY,3915,3915,DUB,3990,3990,0,30,0,0,0,-1,0
B737300#468,B737300,501303/03/08,DUB,4035,4035,CDG,4150,4150,0,30,0,0,0,-1,0
B737300#265,B737300,100701/03/08,DUS,380,380,CDG,455,455,0,30,0,0,0,-1,0
B737300#265,B737300,204601/03/08,CDG,515,515,WAW,650,650,0,30,0,0,0,-1,0
B737300#265,B737300,204701/03/08,WAW,705,705,CDG,850,850,0,30,0,0,0,-1,0
B737300#265,B737300,244201/03/08,CDG,900,900,GVA,970,970,0,30,0,0,0,-1,0
B737300#265,B737300,244301/03/08,GVA,1050,1050,CDG,1120,1120,0,30,0,0,0,-1,0
B737300#265,B737300,101801/03/08,CDG,1150,1150,FRA,1235,1235,0,30,0,0,0,-1,0
B737300#265,B737300,101902/03/08,FRA,1825,1825,CDG,1905,1905,0,30,0,0,0,-1,0
B737300#265,B737300,204602/03/08,CDG,1955,1955,WAW,2090,2090,0,30,0,0,0,-1,0
B737300#265,B737300,204702/03/08,WAW,2145,2145,CDG,2290,2290,0,30,0,0,0,-1,0
B737300#265,B737300,192402/03/08,CDG,2340,2340,LIS,2490,2490,0,30,0,0,0,-1,0
B737300#265,B737300,192502/03/08,LIS,2550,2550,CDG,2700,2700,0,30,0,0,0,-1,0
B737300#265,B737300,166803/03/08,CDG,3285,3285,MAN,3375,3375,0,30,0,0,0,-1,0
B737300#265,B737300,166903/03/08,MAN,3430,3430,CDG,3515,3515,0,30,0,0,0,-1,0
B737300#265,B737300,170203/03/08,CDG,3585,3585,TRN,3670,3670,0,30,0,0,0,-1,0
B737300#265,B737300,170303/03/08,TRN,3775,3775,CDG,3865,3865,0,30,0,0,0,-1,0
B737300#265,B737300,502603/03/08,CDG,3895,3895,LCY,3960,3960,0,30,0,0,0,-1,0
B737300#265,B737300,502703/03/08,LCY,3990,3990,ORY,4065,4065,0,30,0,0,0,-1,0
A340#499,A340,62501/03/08,PTP,1200,1200,ORY,1675,1675,0,60,0,0,0,-1,0
A340#499,A340,65602/03/08,ORY,2370,2370,FDF,2890,2890,0,60,0,0,0,-1,0
A340#499,A340,65303/03/08,FDF,3995,3995,ORY,4480,4480,0,60,0,0,0,-1,0
A340#498,A340,62101/03/08,PTP,1085,1085,ORY,1560,1560,0,60,0,0,0,-1,0
A340#498,A340,354002/03/08,ORY,2345,2345,ALG,2475,2475,0,60,0,0,0,-1,0
A340#498,A340,354102/03/08,ALG,2595,2595,ORY,2725,2725,0,60,0,0,0,-1,0
A340#498,A340,65603/03/08,ORY,3810,3810,FDF,4330,4330,0,60,0,0,0,-1,0
A340#473,A340,65201/03/08,ORY,750,750,FDF,1270,1270,0,60,0,0,0,-1,0
A340#473,A340,65702/03/08,FDF,2200,2200,ORY,2685,2685,0,60,0,0,0,-1,0
A340#473,A340,62403/03/08,ORY,3720,3720,PTP,4230,4230,0,60,0,0,0,-1,0
A340#472,A340,62001/03/08,ORY,660,660,PTP,1170,1170,0,60,0,0,0,-1,0
A340#472,A340,62502/03/08,PTP,2640,2640,ORY,3115,3115,0,60,0,0,0,-1,0
A340#472,A340,65203/03/08,ORY,3630,3630,FDF,4150,4150,0,60,0,0,0,-1,0
A340#471,A340,60801/03/08,ORY,585,585,CAY,1130,1130,0,60,0,0,0,-1,0
A340#471,A340,60702/03/08,CAY,2485,2485,ORY,3000,3000,0,60,0,0,0,-1,0
A340#471,A340,62003/03/08,ORY,3540,3540,PTP,4050,4050,0,60,0,0,0,-1,0
A340#470,A340,335401/03/08,ORY,505,505,RAK,690,690,0,60,0,0,0,-1,0
A340#470,A340,335701/03/08,RAK,860,860,ORY,1045,1045,0,60,0,0,0,-1,0
A340#470,A340,60802/03/08,ORY,2025,2025,CAY,2570,2570,0,60,0,0,0,-1,0
A340#470,A340,60703/03/08,CAY,3925,3925,ORY,4440,4440,0,60,0,0,0,-1,0
A340#469,A340,353801/03/08,ORY,395,395,ALG,525,525,0,60,0,0,0,-1,0
A340#469,A340,353901/03/08,ALG,645,645,ORY,775,775,0,60,0,0,0,-1,0
A340#469,A340,62401/03/08,ORY,840,840,PTP,1350,1350,0,60,0,0,0,-1,0
A340#469,A340,62102/03/08,PTP,2525,2525,ORY,3000,3000,0,60,0,0,0,-1,0
A340#469,A340,60803/03/08,ORY,3465,3465,CAY,4010,4010,0,60,0,0,0,-1,0
A321#69,A321,451101/03/08,BIA,355,355,ORY,450,450,0,45,0,0,0,-1,0
A321#69,A321,601601/03/08,ORY,515,515,MRS,590,590,0,45,0,0,0,-1,0
A321#69,A321,602901/03/08,MRS,810,810,ORY,890,890,0,45,0,0,0,-1,0
A321#69,A321,622201/03/08,ORY,960,960,NCE,1040,1040,0,45,0,0,0,-1,0
A321#69,A321,622901/03/08,NCE,1085,1085,ORY,1170,1170,0,45,0,0,0,-1,0
A321#69,A321,754002/03/08,ORY,1800,1800,MPL,1875,1875,0,45,0,0,0,-1,0
A321#69,A321,754302/03/08,MPL,1925,1925,ORY,2005,2005,0,45,0,0,0,-1,0
A321#69,A321,611802/03/08,ORY,2090,2090,TLS,2160,2160,0,45,0,0,0,-1,0
A321#69,A321,612702/03/08,TLS,2290,2290,ORY,2370,2370,0,45,0,0,0,-1,0
A321#69,A321,745602/03/08,ORY,2420,2420,PUF,2495,2495,0,45,0,0,0,-1,0
A321#69,A321,746102/03/08,PUF,2550,2550,ORY,2630,2630,0,45,0,0,0,-1,0
A321#69,A321,751203/03/08,ORY,3265,3265,TLN,3345,3345,0,45,0,0,0,-1,0
A321#69,A321,751303/03/08,TLN,3395,3395,ORY,3480,3480,0,45,0,0,0,-1,0
A321#69,A321,756803/03/08,ORY,3580,3580,AJA,3680,3680,0,45,0,0,0,-1,0
A321#69,A321,450503/03/08,AJA,3940,3940,ORY,4040,4040,0,45,0,0,0,-1,0
A321#69,A321,627403/03/08,ORY,4090,4090,BOD,4155,4155,0,45,0,0,0,-1,0
A321#339,A321,593001/03/08,LRT,360,360,ORY,430,430,0,45,0,0,0,-1,0
A321#339,A321,730201/03/08,ORY,480,480,SXB,540,540,0,45,0,0,0,-1,0
A321#339,A321,730701/03/08,SXB,610,610,ORY,670,670,0,45,0,0,0,-1,0
A321#339,A321,621401/03/08,ORY,720,720,NCE,800,800,0,45,0,0,0,-1,0
A321#339,A321,621901/03/08,NCE,845,845,ORY,930,930,0,45,0,0,0,-1,0
A321#339,A321,593501/03/08,ORY,975,975,LRT,1040,1040,0,45,0,0,0,-1,0
A321#339,A321,593601/03/08,LRT,1085,1085,ORY,1150,1150,0,45,0,0,0,-1,0
A321#339,A321,451401/03/08,ORY,1215,1215,BIA,1310,1310,0,45,0,0,0,-1,0
A321#339,A321,451102/03/08,BIA,1795,1795,ORY,1890,1890,0,45,0,0,0,-1,0
A321#339,A321,736202/03/08,ORY,1935,1935,BES,2005,2005,0,45,0,0,0,-1,0
A321#339,A321,736502/03/08,BES,2050,2050,ORY,2125,2125,0,45,0,0,0,-1,0
A321#339,A321,733402/03/08,ORY,2170,2170,MLH,2230,2230,0,45,0,0,0,-1,0
A321#339,A321,733902/03/08,MLH,2275,2275,ORY,2345,2345,0,45,0,0,0,-1,0
A321#339,A321,593502/03/08,ORY,2415,2415,LRT,2480,2480,0,45,0,0,0,-1,0
A321#339,A321,593602/03/08,LRT,2525,2525,ORY,2590,2590,0,45,0,0,0,-1,0
A321#339,A321,755802/03/08,ORY,2650,2650,MPL,2730,2730,0,45,0,0,0,-1,0
A321#339,A321,754103/03/08,MPL,3220,3220,ORY,3300,3300,0,45,0,0,0,-1,0
A321#339,A321,754203/03/08,ORY,3345,3345,MPL,3420,3420,0,45,0,0,0,-1,0
A321#339,A321,754503/03/08,MPL,3470,3470,ORY,3550,3550,0,45,0,0,0,-1,0
A321#339,A321,621803/03/08,ORY,3720,3720,NCE,3800,3800,0,45,0,0,0,-1,0
A321#339,A321,623903/03/08,NCE,3845,3845,ORY,3930,3930,0,45,0,0,0,-1,0
A321#339,A321,748403/03/08,ORY,3980,3980,BIQ,4055,4055,0,45,0,0,0,-1,0
A321#339,A321,749503/03/08,BIQ,4105,4105,ORY,4185,4185,0,45,0,0,0,-1,0
A321#140,A321,776001/03/08,CDG,395,395,SXB,465,465,0,45,0,0,0,-1,0
A321#140,A321,776301/03/08,SXB,575,575,CDG,645,645,0,45,0,0,0,-1,0
A321#140,A321,776201/03/08,CDG,700,700,SXB,770,770,0,45,0,0,0,-1,0
A321#140,A321,777101/03/08,SXB,850,850,CDG,920,920,0,45,0,0,0,-1,0
A321#140,A321,328801/03/08,CDG,1195,1195,MLH,1265,1265,0,45,0,0,0,-1,0
A321#140,A321,328902/03/08,MLH,1805,1805,CDG,1880,1880,0,45,0,0,0,-1,0
A321#140,A321,765202/03/08,CDG,1955,1955,LYS,2025,2025,0,45,0,0,0,-1,0
A321#140,A321,764302/03/08,LYS,2200,2200,CDG,2270,2270,0,45,0,0,0,-1,0
A321#140,A321,778602/03/08,CDG,2340,2340,TLS,2425,2425,0,45,0,0,0,-1,0
A321#140,A321,778902/03/08,TLS,2475,2475,CDG,2565,2565,0,45,0,0,0,-1,0
A321#140,A321,763002/03/08,CDG,2640,2640,BOD,2720,2720,0,45,0,0,0,-1,0
A321#140,A321,762103/03/08,BOD,3230,3230,CDG,3315,3315,0,45,0,0,0,-1,0
A321#140,A321,770203/03/08,CDG,3455,3455,NCE,3550,3550,0,45,0,0,0,-1,0
A321#140,A321,770303/03/08,NCE,3600,3600,CDG,3695,3695,0,45,0,0,0,-1,0
A321#140,A321,770603/03/08,CDG,3760,3760,NCE,3855,3855,0,45,0,0,0,-1,0
A321#140,A321,623303/03/08,NCE,3935,3935,ORY,4020,4020,0,45,0,0,0,-1,0
A320#86,A320,625501/03/08,BOD,370,370,ORY,440,440,0,40,0,0,0,-1,0
A320#86,A320,735101/03/08,ORY,480,480,RNS,540,540,0,40,0,0,0,-1,0
A320#86,A320,735201/03/08,RNS,600,600,ORY,665,665,0,40,0,0,0,-1,0
A320#86,A320,612201/03/08,ORY,770,770,TLS,840,840,0,40,0,0,0,-1,0
A320#86,A320,612901/03/08,TLS,880,880,ORY,960,960,0,40,0,0,0,-1,0
A320#86,A320,603801/03/08,ORY,1025,1025,MRS,1100,1100,0,40,0,0,0,-1,0
A320#86,A320,600102/03/08,MRS,1740,1740,ORY,1820,1820,0,40,0,0,0,-1,0
A320#86,A320,620202/03/08,ORY,1860,1860,NCE,1940,1940,0,40,0,0,0,-1,0
A320#86,A320,620702/03/08,NCE,1985,1985,ORY,2070,2070,0,40,0,0,0,-1,0
A320#86,A320,736602/03/08,ORY,2115,2115,BES,2185,2185,0,40,0,0,0,-1,0
A320#86,A320,736902/03/08,BES,2225,2225,ORY,2300,2300,0,40,0,0,0,-1,0
A320#86,A320,741602/03/08,ORY,2340,2340,LYS,2405,2405,0,40,0,0,0,-1,0
A320#86,A320,741102/03/08,LYS,2450,2450,ORY,2515,2515,0,40,0,0,0,-1,0
A320#86,A320,604402/03/08,ORY,2555,2555,MRS,2630,2630,0,40,0,0,0,-1,0
A320#86,A320,600303/03/08,MRS,3210,3210,ORY,3290,3290,0,40,0,0,0,-1,0
A320#86,A320,748003/03/08,ORY,3335,3335,BIQ,3410,3410,0,40,0,0,0,-1,0
A320#86,A320,748903/03/08,BIQ,3800,3800,ORY,3880,3880,0,40,0,0,0,-1,0
A320#86,A320,626803/03/08,ORY,3925,3925,BOD,3990,3990,0,40,0,0,0,-1,0
A320#86,A320,627503/03/08,BOD,4045,4045,ORY,4115,4115,0,40,0,0,0,-1,0
A320#85,A320,625301/03/08,BOD,340,340,ORY,410,410,0,40,0,0,0,-1,0
A320#85,A320,601001/03/08,ORY,455,455,MRS,530,530,0,40,0,0,0,-1,0
A320#85,A320,602501/03/08,MRS,690,690,ORY,770,770,0,40,0,0,0,-1,0
A320#85,A320,612601/03/08,ORY,830,830,TLS,900,900,0,40,0,0,0,-1,0
A320#85,A320,613501/03/08,TLS,970,970,ORY,1050,1050,0,40,0,0,0,-1,0
A320#85,A320,755401/03/08,ORY,1095,1095,MPL,1170,1170,0,40,0,0,0,-1,0
A320#85,A320,755902/03/08,MPL,1815,1815,ORY,1900,1900,0,40,0,0,0,-1,0
A320#85,A320,450002/03/08,ORY,1945,1945,AJA,2045,2045,0,40,0,0,0,-1,0
A320#85,A320,450502/03/08,AJA,2500,2500,ORY,2600,2600,0,40,0,0,0,-1,0
A320#85,A320,733003/03/08,ORY,3230,3230,MLH,3290,3290,0,40,0,0,0,-1,0
A320#85,A320,733503/03/08,MLH,3335,3335,ORY,3405,3405,0,40,0,0,0,-1,0
A320#85,A320,626003/03/08,ORY,3610,3610,BOD,3675,3675,0,40,0,0,0,-1,0
A320#85,A320,626503/03/08,BOD,3725,3725,ORY,3795,3795,0,40,0,0,0,-1,0
A320#85,A320,731003/03/08,ORY,3865,3865,SXB,3925,3925,0,40,0,0,0,-1,0
A320#85,A320,731903/03/08,SXB,3980,3980,ORY,4040,4040,0,40,0,0,0,-1,0
A320#85,A320,623203/03/08,ORY,4080,4080,NCE,4160,4160,0,40,0,0,0,-1,0
A320#84,A320,625101/03/08,BOD,310,310,ORY,380,380,0,40,0,0,0,-1,0
A320#84,A320,620201/03/08,ORY,420,420,NCE,500,500,0,40,0,0,0,-1,0
A320#84,A320,620701/03/08,NCE,545,545,ORY,630,630,0,40,0,0,0,-1,0
A320#84,A320,775601/03/08,ORY,740,740,ETZ,800,800,0,40,0,0,0,-1,0
A320#84,A320,775301/03/08,ETZ,890,890,ORY,960,960,0,40,0,0,0,-1,0
A320#84,A320,613601/03/08,ORY,1010,1010,TLS,1080,1080,0,40,0,0,0,-1,0
A320#84,A320,614501/03/08,TLS,1120,1120,ORY,1200,1200,0,40,0,0,0,-1,0
A320#84,A320,615202/03/08,ORY,1760,1760,TLS,1830,1830,0,40,0,0,0,-1,0
A320#84,A320,615302/03/08,TLS,1870,1870,ORY,1950,1950,0,40,0,0,0,-1,0
A320#84,A320,611402/03/08,ORY,2030,2030,TLS,2100,2100,0,40,0,0,0,-1,0
A320#84,A320,612102/03/08,TLS,2140,2140,ORY,2220,2220,0,40,0,0,0,-1,0
A320#84,A320,733602/03/08,ORY,2270,2270,MLH,2330,2330,0,40,0,0,0,-1,0
A320#84,A320,734102/03/08,MLH,2380,2380,ORY,2450,2450,0,40,0,0,0,-1,0
A320#84,A320,731202/03/08,ORY,2490,2490,SXB,2550,2550,0,40,0,0,0,-1,0
A320#84,A320,732502/03/08,SXB,2600,2600,ORY,2660,2660,0,40,0,0,0,-1,0
A320#84,A320,625003/03/08,ORY,3230,3230,BOD,3295,3295,0,40,0,0,0,-1,0
A320#84,A320,625703/03/08,BOD,3340,3340,ORY,3410,3410,0,40,0,0,0,-1,0
A320#84,A320,602003/03/08,ORY,3575,3575,MRS,3650,3650,0,40,0,0,0,-1,0
A320#84,A320,601103/03/08,MRS,3720,3720,ORY,3800,3800,0,40,0,0,0,-1,0
A320#84,A320,593503/03/08,ORY,3855,3855,LRT,3920,3920,0,40,0,0,0,-1,0
A320#84,A320,593603/03/08,LRT,3965,3965,ORY,4030,4030,0,40,0,0,0,-1,0
A320#84,A320,593703/03/08,ORY,4075,4075,LRT,4140,4140,0,40,0,0,0,-1,0
A320#578,A320,610301/03/08,TLS,340,340,ORY,420,420,0,40,0,0,0,-1,0
A320#578,A320,740201/03/08,ORY,460,460,LYS,525,525,0,40,0,0,0,-1,0
A320#578,A320,740501/03/08,LYS,570,570,ORY,635,635,0,40,0,0,0,-1,0
A320#578,A320,613001/03/08,ORY,920,920,TLS,990,990,0,40,0,0,0,-1,0
A320#578,A320,614301/03/08,TLS,1090,1090,ORY,1170,1170,0,40,0,0,0,-1,0
A320#578,A320,751202/03/08,ORY,1825,1825,TLN,1905,1905,0,40,0,0,0,-1,0
A320#578,A320,751302/03/08,TLN,1955,1955,ORY,2040,2040,0,40,0,0,0,-1,0
A320#578,A320,748202/03/08,ORY,2085,2085,BIQ,2160,2160,0,40,0,0,0,-1,0
A320#578,A320,748902/03/08,BIQ,2360,2360,ORY,2440,2440,0,40,0,0,0,-1,0
A320#578,A320,626802/03/08,ORY,2485,2485,BOD,2550,2550,0,40,0,0,0,-1,0
A320#578,A320,627502/03/08,BOD,2605,2605,ORY,2675,2675,0,40,0,0,0,-1,0
A320#578,A320,624403/03/08,ORY,3270,3270,NCE,3350,3350,0,40,0,0,0,-1,0
A320#578,A320,624503/03/08,NCE,3395,3395,ORY,3480,3480,0,40,0,0,0,-1,0
A320#578,A320,733603/03/08,ORY,3710,3710,MLH,3770,3770,0,40,0,0,0,-1,0
A320#578,A320,734103/03/08,MLH,3820,3820,ORY,3890,3890,0,40,0,0,0,-1,0
A320#578,A320,741203/03/08,ORY,4000,4000,LYS,4065,4065,0,40,0,0,0,-1,0
A320#577,A320,610701/03/08,TLS,400,400,ORY,480,480,0,40,0,0,0,-1,0
A320#577,A320,611201/03/08,ORY,530,530,TLS,600,600,0,40,0,0,0,-1,0
A320#577,A320,611901/03/08,TLS,640,640,ORY,720,720,0,40,0,0,0,-1,0
A320#577,A320,602601/03/08,ORY,815,815,MRS,890,890,0,40,0,0,0,-1,0
A320#577,A320,603901/03/08,MRS,960,960,ORY,1040,1040,0,40,0,0,0,-1,0
A320#577,A320,623801/03/08,ORY,1080,1080,NCE,1160,1160,0,40,0,0,0,-1,0
A320#577,A320,624101/03/08,NCE,1205,1205,ORY,1290,1290,0,40,0,0,0,-1,0
A320#577,A320,624402/03/08,ORY,1830,1830,NCE,1910,1910,0,40,0,0,0,-1,0
A320#577,A320,624502/03/08,NCE,1955,1955,ORY,2040,2040,0,40,0,0,0,-1,0
A320#577,A320,741002/03/08,ORY,2120,2120,LYS,2185,2185,0,40,0,0,0,-1,0
A320#577,A320,740902/03/08,LYS,2230,2230,ORY,2295,2295,0,40,0,0,0,-1,0
A320#577,A320,615602/03/08,ORY,2345,2345,TLS,2415,2415,0,40,0,0,0,-1,0
A320#577,A320,613902/03/08,TLS,2470,2470,ORY,2550,2550,0,40,0,0,0,-1,0
A320#577,A320,593702/03/08,ORY,2635,2635,LRT,2700,2700,0,40,0,0,0,-1,0
A320#577,A320,593003/03/08,LRT,3240,3240,ORY,3310,3310,0,40,0,0,0,-1,0
A320#577,A320,593103/03/08,ORY,3355,3355,LRT,3420,3420,0,40,0,0,0,-1,0
A320#577,A320,593203/03/08,LRT,3465,3465,ORY,3530,3530,0,40,0,0,0,-1,0
A320#577,A320,603403/03/08,ORY,3845,3845,MRS,3920,3920,0,40,0,0,0,-1,0
A320#577,A320,604703/03/08,MRS,3960,3960,ORY,4040,4040,0,40,0,0,0,-1,0
A320#577,A320,750403/03/08,ORY,4095,4095,TLN,4175,4175,0,40,0,0,0,-1,0
A320#464,A320,610401/03/08,ORY,380,380,TLS,450,450,0,40,0,0,0,-1,0
A320#464,A320,611501/03/08,TLS,490,490,ORY,570,570,0,40,0,0,0,-1,0
A320#464,A320,754401/03/08,ORY,915,915,MPL,990,990,0,40,0,0,0,-1,0
A320#464,A320,755701/03/08,MPL,1040,1040,ORY,1120,1120,0,40,0,0,0,-1,0
A320#464,A320,605001/03/08,ORY,1175,1175,MRS,1250,1250,0,40,0,0,0,-1,0
A320#464,A320,600302/03/08,MRS,1770,1770,ORY,1850,1850,0,40,0,0,0,-1,0
A320#464,A320,748002/03/08,ORY,1895,1895,BIQ,1970,1970,0,40,0,0,0,-1,0
A320#464,A320,748502/03/08,BIQ,2210,2210,ORY,2290,2290,0,40,0,0,0,-1,0
A320#464,A320,754402/03/08,ORY,2355,2355,MPL,2430,2430,0,40,0,0,0,-1,0
A320#464,A320,755702/03/08,MPL,2480,2480,ORY,2560,2560,0,40,0,0,0,-1,0
A320#464,A320,627202/03/08,ORY,2605,2605,BOD,2670,2670,0,40,0,0,0,-1,0
A320#464,A320,625503/03/08,BOD,3250,3250,ORY,3320,3320,0,40,0,0,0,-1,0
A320#464,A320,746003/03/08,ORY,3695,3695,PUF,3770,3770,0,40,0,0,0,-1,0
A320#464,A320,745303/03/08,PUF,3820,3820,ORY,3900,3900,0,40,0,0,0,-1,0
A320#464,A320,614003/03/08,ORY,3950,3950,TLS,4020,4020,0,40,0,0,0,-1,0
A320#462,A320,754001/03/08,ORY,360,360,MPL,435,435,0,40,0,0,0,-1,0
A320#462,A320,754301/03/08,MPL,485,485,ORY,565,565,0,40,0,0,0,-1,0
A320#462,A320,451601/03/08,ORY,890,890,BIA,985,985,0,40,0,0,0,-1,0
A320#462,A320,451701/03/08,BIA,1050,1050,ORY,1145,1145,0,40,0,0,0,-1,0
A320#462,A320,735701/03/08,ORY,1185,1185,RNS,1245,1245,0,40,0,0,0,-1,0
A320#462,A320,735002/03/08,RNS,1795,1795,ORY,1860,1860,0,40,0,0,0,-1,0
A320#462,A320,754202/03/08,ORY,1905,1905,MPL,1980,1980,0,40,0,0,0,-1,0
A320#462,A320,754502/03/08,MPL,2030,2030,ORY,2110,2110,0,40,0,0,0,-1,0
A320#462,A320,754802/03/08,ORY,2175,2175,MPL,2250,2250,0,40,0,0,0,-1,0
A320#462,A320,754902/03/08,MPL,2300,2300,ORY,2380,2380,0,40,0,0,0,-1,0
A320#462,A320,731002/03/08,ORY,2425,2425,SXB,2485,2485,0,40,0,0,0,-1,0
A320#462,A320,731902/03/08,SXB,2540,2540,ORY,2600,2600,0,40,0,0,0,-1,0
A320#462,A320,732003/03/08,ORY,3260,3260,SXB,3320,3320,0,40,0,0,0,-1,0
A320#462,A320,730503/03/08,SXB,3370,3370,ORY,3430,3430,0,40,0,0,0,-1,0
A320#462,A320,740403/03/08,ORY,3670,3670,LYS,3735,3735,0,40,0,0,0,-1,0
A320#462,A320,741303/03/08,LYS,3780,3780,ORY,3845,3845,0,40,0,0,0,-1,0
A320#462,A320,613603/03/08,ORY,3890,3890,TLS,3960,3960,0,40,0,0,0,-1,0
A320#462,A320,614503/03/08,TLS,4000,4000,ORY,4080,4080,0,40,0,0,0,-1,0
A320#461,A320,733001/03/08,ORY,350,350,MLH,410,410,0,40,0,0,0,-1,0
A320#461,A320,733501/03/08,MLH,455,455,ORY,525,525,0,40,0,0,0,-1,0
A320#461,A320,737601/03/08,ORY,880,880,BES,950,950,0,40,0,0,0,-1,0
A320#461,A320,737501/03/08,BES,995,995,ORY,1070,1070,0,40,0,0,0,-1,0
A320#461,A320,627001/03/08,ORY,1110,1110,BOD,1175,1175,0,40,0,0,0,-1,0
A320#461,A320,625502/03/08,BOD,1810,1810,ORY,1880,1880,0,40,0,0,0,-1,0
A320#461,A320,735102/03/08,ORY,1920,1920,RNS,1980,1980,0,40,0,0,0,-1,0
A320#461,A320,735202/03/08,RNS,2040,2040,ORY,2105,2105,0,40,0,0,0,-1,0
A320#461,A320,621402/03/08,ORY,2160,2160,NCE,2240,2240,0,40,0,0,0,-1,0
A320#461,A320,621902/03/08,NCE,2285,2285,ORY,2370,2370,0,40,0,0,0,-1,0
A320#461,A320,613402/03/08,ORY,2420,2420,TLS,2490,2490,0,40,0,0,0,-1,0
A320#461,A320,614502/03/08,TLS,2560,2560,ORY,2640,2640,0,40,0,0,0,-1,0
A320#461,A320,625203/03/08,ORY,3250,3250,BOD,3315,3315,0,40,0,0,0,-1,0
A320#461,A320,625903/03/08,BOD,3360,3360,ORY,3430,3430,0,40,0,0,0,-1,0
A320#461,A320,743603/03/08,ORY,3655,3655,CFE,3710,3710,0,40,0,0,0,-1,0
A320#461,A320,743703/03/08,CFE,3780,3780,ORY,3835,3835,0,40,0,0,0,-1,0
A320#461,A320,603603/03/08,ORY,3875,3875,MRS,3950,3950,0,40,0,0,0,-1,0
A320#461,A320,604903/03/08,MRS,3990,3990,ORY,4070,4070,0,40,0,0,0,-1,0
A320#460,A320,625001/03/08,ORY,350,350,BOD,415,415,0,40,0,0,0,-1,0
